ID,Traditional,Simplified,Level,Pinyin,POS,Meaning,Compounds,Examples,WFreq,SFreq,MOE
95,請,请,1,qǐng,V,"please / to stand treat / to invite / to request, to ask",請坐，請說，請您……。,請給我一杯牛奶。上中文課的時候，請說中文。 / 我請你喝咖啡。 / 下星期六請你來我家玩。 / 你可以請朋友幫你叫計程車。,488,447,23806 25806
96,請問,请问,1,qǐngwèn,Ph,May I ask......?,,請問車站怎麼去？請問這個字怎麼唸？,24,94,25823
97,去,去,1,qù,V,to go,去（……）＋地方，去那裡，一起去……。,我去朋友家吃飯。,2059,4057,25953
98,去年,去年,1,qùnián,N,last year,去年三月。,這件衣服是去年買的。,36,126,25954
99,熱,热,1,rè,Vs,hot,天氣熱，熱茶，熱水。,今天好熱！我要一杯熱咖啡。,87,262,35919
100,人,人,1,rén,N,"person, people / human being",,教室裡有十五個人。 / 人都要吃飯、喝水。,6185,4296,36052
101,日,日,1,rì,M,day,每日，一日。,一年有三百六十五日。,275,133,35857
102,容易,容易,1,róngyì,Vs,easy,,天氣冷的時候容易感冒。學中文不是一件容易的事。,362,404,36569
103,三,三,1,sān,N,three,三個，三張，三年。,桌上有三個碗。,1267,868,38847
104,上,上,1,shàng,N/V,"on, above / in the (tree, car) / previous / up to / to get on, to get into",上面，桌上，床上，車上，樹上，上個星期，上個月，上樓，上去，上車，上公車，上火車，上飛機。,桌上有一杯咖啡。他在床上睡覺。 / 車上有五個人。 / 我上個月去日本玩。 / 我上樓去拿書。 / 公車來了，快上車吧！,4977,3509,34855 34869
105,上午,上午,1,shàngwǔ,N,morning,今天上午，每天上午，上午十點。,我們明天上午不上課。,26,14,34967
106,少,少,1,shǎo,Vs/Vp,"less, little, few / lack, short",少一點，少一個人。,我會寫的中文字很少。 / 少一個人，就不能打球。,204,340,34055 34062
107,誰,谁,1,shéi,N,"who, whom",誰的。,誰要喝咖啡？你知道那個人是誰嗎？這枝筆是誰的？,456,283,34016
108,什麼,什么,1,shénme,N,what,做什麼，是什麼，買什麼，什麼事，什麼人，什麼N。,你今天在學校學了什麼？你晚餐想吃什麼東西？,1754,2650,34679
108,甚麼,甚么,1,shénme,N,what,做什麼，是什麼，買什麼，什麼事，什麼人，什麼N。,你今天在學校學了什麼？你晚餐想吃什麼東西？,1754,2650,34681
109,十,十,1,shí,N,ten,十個，十張，十年，十分鐘。,我住在這裡十年了。,320,293,33264
110,是,是,1,shì,Vs,be / yes,這是，不是，是的。,他是老師，不是醫生。那是我的車。這個字是什麼意思？今天是星期天。 / A：「這是你的書嗎？」 B：「是的。」,18291,28602,33694
111,時候,时候,1,shíhòu,N,"time, period",什麼時候，V的時候。,他什麼時候回來？上課的時候不可以睡覺。,844,3606,33375
112,時間,时间,1,shíjiān,N,"time / period / free time, spare time",上課時間，時間不長，有時間，沒時間。,現在的時間是十點十五分。吃飯的時間到了。 / 他學中文的時間不長。 / 我今天沒時間跟你們去玩。,865,1063,33379
113,手機,手机,1,shǒujī,N,cell phone,一支手機。,你看到我的手機了嗎？,39,61,45231
114,書,书,1,shū,N,book,一本書，看書。,你在看什麼書？這本書很有意思。,767,457,35309
115,水,水,1,shuǐ,N,water,一杯水，喝水。,我喝了一杯水。水裡面有魚。,342,1245,35591
116,睡覺,睡觉,1,shuìjiào,V,to sleep,,他在房間裡睡覺。,65,88,35740 35741
117,說,说,1,shuō,V,"to say, to tell , to talk, to speak",跟……說，說中文。,你說什麼，我聽不懂。他跟我說他明天不會來。我會說中文也會說英文。,5312,6283,35509 35731 44631
118,四,四,1,sì,N,four,四個，四張，四分鐘。,昨天我上了四個鐘頭的課。,553,423,38637
119,歲,岁,1,suì,M,classifier for age,二十歲，幾歲。,你今年幾歲？我今年十七歲。,574,521,39217
120,她,她,1,tā,N,"she, her (object)",,她唱歌很好聽。老師問她一個問題。,4568,2329,9922
121,他,他,1,tā,N,"he, him",,他唱歌很好聽。老師問他一個問題。,10261,6366,9908
122,他們,他们,1,tāmen,N,"they, them",,他們晚上要去公園。我想請他們來我家吃飯。,2945,3036,9909
